Record_Type,profile_id,profile_name,profile_run_key,profile_start_time,profile_end_time,profile_execution_Time,rows_Processed,run_status,runCostInMB,Key_PID_RKEY
Previous Run - 1,7f325c31-2bf7-4cd9-bb52-83bac9ca501a,Profile_Employee,12,2022-06-07 10:53:42,2022-06-07 10:54:44,61.851,107,COMPLETED,0.019378662109375,7f325c31-2bf7-4cd9-bb52-83bac9ca501a12
Previous Run - 2,7f325c31-2bf7-4cd9-bb52-83bac9ca501a,Profile_Employee,11,2022-06-07 10:51:51,2022-06-07 10:52:53,61.966,107,COMPLETED,0.019378662109375,7f325c31-2bf7-4cd9-bb52-83bac9ca501a11
Previous Run - 3,7f325c31-2bf7-4cd9-bb52-83bac9ca501a,Profile_Employee,10,2022-06-07 09:37:59,2022-06-07 09:39:23,84.016,107,COMPLETED,0.019378662109375,7f325c31-2bf7-4cd9-bb52-83bac9ca501a10
Previous Run - 4,7f325c31-2bf7-4cd9-bb52-83bac9ca501a,Profile_Employee,9,2022-06-07 01:30:03,2022-06-07 01:31:12,68.881,107,COMPLETED,0.019378662109375,7f325c31-2bf7-4cd9-bb52-83bac9ca501a9
Previous Run - 5,7f325c31-2bf7-4cd9-bb52-83bac9ca501a,Profile_Employee,8,2022-06-07 01:27:45,2022-06-07 01:29:08,82.35,107,COMPLETED,0.019378662109375,7f325c31-2bf7-4cd9-bb52-83bac9ca501a8
Previous Run - 6,7f325c31-2bf7-4cd9-bb52-83bac9ca501a,Profile_Employee,7,2022-06-07 01:22:37,2022-06-07 01:23:49,71.971,107,COMPLETED,0.019378662109375,7f325c31-2bf7-4cd9-bb52-83bac9ca501a7
Previous Run - 7,7f325c31-2bf7-4cd9-bb52-83bac9ca501a,Profile_Employee,6,2022-06-07 01:19:42,2022-06-07 01:20:58,76.522,107,COMPLETED,0.019378662109375,7f325c31-2bf7-4cd9-bb52-83bac9ca501a6
Previous Run - 8,7f325c31-2bf7-4cd9-bb52-83bac9ca501a,Profile_Employee,5,2022-06-07 01:11:34,2022-06-07 01:12:28,53.546,107,COMPLETED,0.019378662109375,7f325c31-2bf7-4cd9-bb52-83bac9ca501a5
Latest Run,96b171f7-ce18-41b3-a83b-ca24fee23ec3,Profile_Employee_Address,1,2022-04-01 11:28:13,2022-04-01 12:29:20,3666.699,100,COMPLETED,0.13784122467041016,96b171f7-ce18-41b3-a83b-ca24fee23ec31
Latest Run,cb5f6d11-9d63-4d3d-a60d-8d5601044e9e,Profile_EMPLOYEE_DATA_Auto_Rule_Assign,1,2023-02-02 13:21:26,2023-02-02 13:22:38,72.52,1470,COMPLETED,0.14104461669921875,cb5f6d11-9d63-4d3d-a60d-8d5601044e9e1
Latest Run,310ff883-dcdd-4679-9602-f42ecad5570e,Profile_PRODUCT,2,2021-09-15 11:41:30,2021-09-15 11:43:38,127.56,3001,COMPLETED,0.5691232681274414,310ff883-dcdd-4679-9602-f42ecad5570e2
Previous Run,310ff883-dcdd-4679-9602-f42ecad5570e,Profile_PRODUCT,1,2021-09-15 11:14:00,2021-09-15 11:16:15,135.285,3001,COMPLETED,0.569066047668457,310ff883-dcdd-4679-9602-f42ecad5570e1
Latest Run,5b787ebc-23d3-4bd8-9733-18d120465e82,Profile_SUPPLIER,8,2021-10-18 03:29:04,2021-10-18 03:32:18,194.508,99,COMPLETED,0.22647666931152344,5b787ebc-23d3-4bd8-9733-18d120465e828
Previous Run,5b787ebc-23d3-4bd8-9733-18d120465e82,Profile_SUPPLIER,7,2021-10-11 05:28:20,2021-10-11 05:30:23,122.715,99,COMPLETED,0.22647666931152344,5b787ebc-23d3-4bd8-9733-18d120465e827
Previous Run - 1,5b787ebc-23d3-4bd8-9733-18d120465e82,Profile_SUPPLIER,6,2021-10-11 05:18:56,2021-10-11 05:21:16,140.192,99,COMPLETED,0.22647666931152344,5b787ebc-23d3-4bd8-9733-18d120465e826
Previous Run - 2,5b787ebc-23d3-4bd8-9733-18d120465e82,Profile_SUPPLIER,5,2021-09-15 11:38:42,2021-09-15 11:40:58,136.106,99,COMPLETED,0.22647666931152344,5b787ebc-23d3-4bd8-9733-18d120465e825
Latest Run,ad3a8932-f89a-4afd-8d6d-266c39e75ad3,Profile_SUPPLIER_DEMO_Discovery,1,2021-10-23 12:00:28,2021-10-23 12:04:06,217.716,99,COMPLETED,0.21470355987548828,ad3a8932-f89a-4afd-8d6d-266c39e75ad31
Latest Run,749db6d5-c9ea-4a0d-9434-f30875bc078c,Profile_SUPPLIER_DEMO_rule,2,2021-10-27 03:55:47,2021-10-27 03:57:59,131.783,99,COMPLETED,0.23958396911621094,749db6d5-c9ea-4a0d-9434-f30875bc078c2
Previous Run,749db6d5-c9ea-4a0d-9434-f30875bc078c,Profile_SUPPLIER_DEMO_rule,1,2021-10-27 03:15:59,2021-10-27 03:18:21,141.941,99,COMPLETED,0.23958396911621094,749db6d5-c9ea-4a0d-9434-f30875bc078c1
Latest Run,5192162b-8070-481d-a720-da3174c6ebca,Profile_testFile,2,2022-01-12 15:49:06,2022-01-12 15:49:53,46.832,28,COMPLETED,0.062470436096191406,5192162b-8070-481d-a720-da3174c6ebca2
Previous Run,5192162b-8070-481d-a720-da3174c6ebca,Profile_testFile,1,2022-01-12 15:34:01,2022-01-12 15:34:55,53.278,28,COMPLETED,0.062470436096191406,5192162b-8070-481d-a720-da3174c6ebca1
Latest Run,ce656eda-44fd-4d96-a2b0-b80122e3b3c0,p_SD_SF_2,3,2023-02-10 00:40:58,2023-02-10 00:44:05,187.797,2,COMPLETED,0.14121055603027344,ce656eda-44fd-4d96-a2b0-b80122e3b3c03
Previous Run,ce656eda-44fd-4d96-a2b0-b80122e3b3c0,p_SD_SF_2,2,2023-02-10 00:35:18,2023-02-10 00:36:57,99.771,2,COMPLETED,0.14121055603027344,ce656eda-44fd-4d96-a2b0-b80122e3b3c02
Previous Run - 1,ce656eda-44fd-4d96-a2b0-b80122e3b3c0,p_SD_SF_2,1,2023-02-10 00:31:45,2023-02-10 00:33:31,106.663,2,COMPLETED,0.14121055603027344,ce656eda-44fd-4d96-a2b0-b80122e3b3c01
Latest Run,bdfa2eba-8567-476a-be77-7edf862394a4,Sample_Profile1,1,2021-12-27 06:18:48,2021-12-27 06:21:46,177.326,2,COMPLETED,0.0022182464599609375,bdfa2eba-8567-476a-be77-7edf862394a41
Latest Run,261f6c52-048c-4ea8-92bd-e0b1517b27eb,SD_2,3,2023-01-19 06:06:22,2023-01-19 06:08:26,124.547,22,COMPLETED,0.17086124420166016,261f6c52-048c-4ea8-92bd-e0b1517b27eb3
